model,provider,proportion,order,trial_index,coordination_tokens,reasoning_tokens,total_context_tokens,mean_score_raw,mean_score_effective,input_tokens_used,output_tokens_used,elapsed_ms,sum_correct,above_count,below_count,equal_count,above_indices,equal_indices,mean_correct,max_above_correct,below_has_zero,no_negatives
gpt-4.1-mini,openai,0.0,coord_first,9,0,3616,4096,1.0,1.0,3999,942,15488.241333005135,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,reason_first,12,0,3616,4096,1.0,1.0,3999,771,13764.966749993619,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,reason_first,13,904,2712,4096,1.0,1.0,4026,718,15282.555917001446,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.75,coord_first,13,2712,904,4096,1.0,1.0,4075,739,13504.114583003684,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.9,coord_first,7,3254,362,4096,0.9,0.9,4090,687,14972.130375004781,1,1,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.0,reason_first,13,0,3616,4096,1.0,1.0,3999,887,12769.751332998567,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.9,coord_first,8,3254,362,4096,1.0,1.0,4090,905,14133.43404099578,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,coord_first,10,0,3616,4096,1.0,1.0,3999,775,15580.25991699833,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.9,coord_first,9,3254,362,4096,1.0,1.0,4090,731,10964.667084001121,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.9,coord_first,10,3254,362,4096,1.0,1.0,4090,685,8487.588832998881,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.75,reason_first,16,2712,904,4096,1.0,1.0,4075,669,8701.882207999006,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,reason_first,14,904,2712,4096,0.9,0.9,4026,686,11438.683791995572,1,1,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.9,coord_first,11,3254,362,4096,1.0,1.0,4090,662,8104.213624996191,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,coord_first,14,904,2712,4096,1.0,1.0,4026,765,10023.077458004991,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.75,coord_first,14,2712,904,4096,1.0,1.0,4075,900,10481.54104200512,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.9,reason_first,17,3254,362,4096,1.0,1.0,4090,797,9282.43737500452,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,coord_first,11,0,3616,4096,1.0,1.0,3999,1024,17385.82587500423,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.9,reason_first,18,3254,362,4096,1.0,1.0,4090,784,18181.600374999107,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,coord_first,12,0,3616,4096,1.0,1.0,3999,986,16211.85804099514,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.9,coord_first,12,3254,362,4096,1.0,1.0,4090,798,10485.106874999474,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,coord_first,15,904,2712,4096,1.0,1.0,4026,681,13412.43316699547,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.75,coord_first,15,2712,904,4096,1.0,1.0,4075,704,15051.687291001144,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.75,reason_first,17,2712,904,4096,1.0,1.0,4075,973,17842.521667000256,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,reason_first,14,0,3616,4096,1.0,1.0,3999,934,12146.197500005655,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,reason_first,15,904,2712,4096,1.0,1.0,4026,698,11362.844791998214,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,coord_first,13,0,3616,4096,1.0,1.0,3999,689,8740.687540994259,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.5,reason_first,12,1808,1808,4096,1.0,1.0,4048,874,13952.302875004534,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.5,reason_first,13,1808,1808,4096,1.0,1.0,4048,861,12719.441084002028,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.9,coord_first,13,3254,362,4096,1.0,1.0,4090,874,13114.255832995696,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,coord_first,14,0,3616,4096,1.0,1.0,3999,1000,19768.900791001215,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,reason_first,15,0,3616,4096,1.0,1.0,3999,820,10485.803458999726,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.5,coord_first,14,1808,1808,4096,1.0,1.0,4047,689,8708.594832998642,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,coord_first,16,904,2712,4096,1.0,1.0,4026,669,13350.994041997183,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.9,coord_first,14,3254,362,4096,1.0,1.0,4090,668,10987.165874998027,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.5,coord_first,15,1808,1808,4096,1.0,1.0,4047,836,18754.017332998046,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.9,coord_first,15,3254,362,4096,1.0,1.0,4090,772,11533.409792005841,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.75,reason_first,18,2712,904,4096,1.0,1.0,4075,657,11443.760208996537,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.5,reason_first,14,1808,1808,4096,1.0,1.0,4048,770,15857.6960000064,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.9,coord_first,16,3254,362,4096,1.0,1.0,4090,820,10474.966375004442,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.75,coord_first,16,2712,904,4096,1.0,1.0,4075,731,10715.80662499764,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.75,reason_first,19,2712,904,4096,1.0,1.0,4075,671,8874.370042001829,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,reason_first,16,0,3616,4096,1.0,1.0,3999,769,12763.85825000034,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,coord_first,17,904,2712,4096,1.0,1.0,4026,665,9311.49204200483,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,coord_first,15,0,3616,4096,1.0,1.0,3999,938,11216.083291001269,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,coord_first,16,0,3616,4096,1.0,1.0,3999,960,13714.919541998825,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,reason_first,17,0,3616,4096,1.0,1.0,3999,937,14443.027790999622,1,1,1,1,1,1,1,1,1,1
